rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:49j6SvuvWfbEKZKzsHCdLJ","Olivia Rodrigo","stupid song","Olivia Rodrigo PS",1,-1,1,"50369677"
2,"spotify:track:55pBIZO1cqoldeqpp5WR7H","Olivia Rodrigo","the cure","Olivia Rodrigo PS",2,8,4,"40707911"
3,"spotify:track:20jbSiX29FDX4oQxBXyUEi","Ariana Grande","hate that i made you love me","Republic Records",1,1,3,"38217817"
4,"spotify:track:3fRCAPMMZ8l8P9YKI6OCzD","Olivia Rodrigo","drop dead","Olivia Rodrigo PS",2,15,9,"37491149"
5,"spotify:track:7J1uxwnxfQLu4APicE5Rnj","Michael Jackson","Billie Jean","Epic",1,2,56,"33774390"
6,"spotify:track:4kX7xkopoXZCfE1D6fNwl2","Olivia Rodrigo","honeybee","Olivia Rodrigo PS",6,-1,1,"33153868"
7,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,4,13,"32210327"
8,"spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7","Justin Bieber, Nicki Minaj","Beauty And A Beat","RBMG/Def Jam",1,3,15,"31357560"
9,"spotify:track:6jfiwkcwt8iYCdkbLukxeI","Olivia Rodrigo","maggots for brains","Olivia Rodrigo PS",9,-1,1,"28744689"
10,"spotify:track:7yNf9YjeO5JXUE3JEBgnYc","Dominic Fike","Babydoll","Columbia",1,6,31,"27851486"
11,"spotify:track:4Ilw2lD6z4WBqh65vUUZUf","Olivia Rodrigo","my way","Olivia Rodrigo PS",11,-1,1,"27769765"
12,"spotify:track:2e3YJ6Hm8tR5L5Zy8HzOtv","Olivia Rodrigo, Robert Smith","what’s wrong with me","Olivia Rodrigo PS",12,-1,1,"27745834"
13,"spotify:track:6Hdc3IQeyCxG5d14uAcwQW","Olivia Rodrigo","u + me = <3","Olivia Rodrigo PS",13,-1,1,"27091438"
14,"spotify:track:2duvkmcQAezPigFEGlERuA","Olivia Rodrigo","begged","Olivia Rodrigo PS",14,-1,1,"26860995"
15,"spotify:track:0kosUz0jePvjiz4ctmR6wL","Shakira, Burna Boy","Dai Dai","Sony Music Latin",15,40,4,"26393212"
16,"spotify:track:16xRAbH0vI3iKvDEhWQ4ZO","Olivia Rodrigo","less","Olivia Rodrigo PS",16,-1,1,"26259885"
17,"spotify:track:0eAuGrXyGFYwur9ARUe7LJ","Malcolm Todd","Earrings","Columbia",8,9,12,"26054187"
18,"spotify:track:4bkClAuofJULiaIZsuL3gT","Olivia Rodrigo","expectations","Olivia Rodrigo PS",18,-1,1,"25896659"
19,"spotify:track:3BovdzfaX4jb5KFQwoPfAw","Michael Jackson","Beat It","Epic",5,7,11,"25590409"
20,"spotify:track:6uvw8GFIqdqaJ4Nr3kN8Rs","BTS","Come Over","BIGHIT MUSIC",20,-1,1,"23255815"
21,"spotify:track:6hkOqJ5mE093AQf2lbZnsG","Katy Perry","The One That Got Away","Capitol Records",9,11,13,"22544293"
22,"spotify:track:5Ndn1irZG8l6xpcLMGeNvc","Olivia Rodrigo","purple","Olivia Rodrigo PS",22,-1,1,"21868300"
23,"spotify:track:4qW3BbQAwZsrnu8a3ZRdyT","Temper City","Self Aware","Temper City under exclusive license to Thirty Knots",14,14,11,"21330215"
