rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
24,"spotify:track:0e4u0sFRGxHL4U2iFBrUvZ","Olivia Rodrigo","cigarette smoke","Olivia Rodrigo PS",24,-1,1,"20735413"
25,"spotify:track:6fl4Gu0lJm5hc8FM5JzCZD","LE SSERAFIM, ILLIT, KATSEYE","ICONIC BY MISTAKE","BELIFT LAB",25,-1,1,"20674463"
26,"spotify:track:514joG57v4yKTsfQmz7stz","Drake","Janice STFU","OVO/Republic",3,10,5,"20623041"
27,"spotify:track:5BKKy9fIJL5uM9fz1SnqyP","Michael Jackson","Chicago","Epic/MJJ",12,12,8,"20325823"
28,"spotify:track:7qjZnBKE73H4Oxkopwulqe","sombr","back to friends","Warner Records",1,13,65,"20198494"
29,"spotify:track:7scFxt9VhL4FJwuPSfRlfN","Ella Langley","Choosin' Texas","SAWGOD/Columbia",16,17,24,"19411835"
30,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",3,18,43,"19144576"
31,"spotify:track:5uPaqMMt59KGrdKIitDRqa","Taylor Swift","I Knew It, I Knew You","Walt Disney Records / Pixar",5,5,2,"19081020"
32,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",1,16,122,"18993939"
33,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",12,21,146,"18280195"
34,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,19,76,"18280088"
35,"spotify:track:5yvVYFDUpbnjcnRBgjwTzM","Tame Impala, JENNIE","Dracula - JENNIE Remix","Columbia",8,23,18,"17770123"
36,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",1,22,37,"17539219"
37,"spotify:track:4WFgvKVfEhb3IUAFGrutTR","Ravyn Lenae","Love Me Not","Atlantic Records",8,20,65,"17501025"
38,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",1,27,96,"17363890"
39,"spotify:track:3C0nOe05EIt1390bVABLyN","Jennifer Lopez, Pitbull","On The Floor","Nuyorican Productions / IDJ",25,25,5,"17007445"
40,"spotify:track:5y2ijHECwFYWqcAHKTZgzD","Bruno Mars","Risk It All","Atlantic Records",3,26,16,"16939538"
41,"spotify:track:3oTuTpF1F3A7rEC6RKsMRz","Dave, Tems","Raindance (feat. Tems)","Neighbourhood",6,24,29,"16892428"
42,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",6,30,38,"16669227"
43,"spotify:track:4cgjA7B4fJBHyB9Ya2bu0t","Michael Jackson","Human Nature","Epic",12,28,8,"16321777"
44,"spotify:track:46eu3SBuFCXWsPT39Yg3tJ","Michael Jackson","Don't Stop 'Til You Get Enough","Epic",8,29,8,"16307988"
45,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",1,34,109,"15730705"
46,"spotify:track:21IYMdzTrzSe191Cy5eMap","Gigi Perez","Sailor Song","Outtahere, LLC / Island Records",7,35,96,"15716954"
47,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",16,37,303,"15376409"
48,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",2,33,76,"15373636"
49,"spotify:track:2lpygKqzPFtItQ4ss3cgfb","Mac Miller, Ty Dolla $ign","Cinderella (feat. Ty Dolla $ign)","Warner Records",49,49,4,"15036534"
50,"spotify:track:0eu4C55hL6x29mmeAjytzC","Oliver Tree","Life Goes On","Atlantic Records",15,-1,26,"15008450"
51,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",35,38,225,"15004652"
52,"spotify:track:1rIKgCH4H52lrvDcz50hS8","Zara Larsson","Lush Life","Epic/Record Company TEN",7,31,43,"14948767"
53,"spotify:track:1DwscornXpj8fmOmYVlqZt","PinkPantheress, Zara Larsson","Stateside + Zara Larsson","Warner Records",2,32,23,"14795274"
54,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",8,46,236,"14724838"
55,"spotify:track:7eYzn1CuiJK6VvUhf8zA6k","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",6,36,39,"14636973"
56,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",1,41,52,"14562400"
57,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",3,42,76,"14354522"
58,"spotify:track:4xoY4lZNoTjEuHsSmhgF1G","eńau, Ari Lesmana","Sesi Potret","Firefly Records",58,59,4,"14320615"
59,"spotify:track:5BZsQlgw21vDOAjoqkNgKb","Justin Bieber","DAISIES","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",2,39,49,"14273644"
60,"spotify:track:5g7sDjBhZ4I3gcFIpkrLuI","Bruno Mars","Locked out of Heaven","Atlantic Records",18,45,202,"14261516"
61,"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Vance Joy","Riptide","Atlantic Records",30,47,279,"14248500"
62,"spotify:track:5ViLKrbyL3HD6wsq3AB9eI","Dominic Fike","White Keys","Columbia",30,43,17,"13924970"
63,"spotify:track:1zi7xx7UVEFkmKfv06H8x0","Drake, Wizkid, Kyla","One Dance","Cash Money Records/Young Money Ent./Universal Rec.",12,54,283,"13856190"
64,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",1,44,71,"13803701"
65,"spotify:track:3QGsuHI8jO1Rx4JWLUh9jd","Shawn Mendes","Treat You Better","Island Records",26,64,61,"13619652"
66,"spotify:track:56V7nzrqr6Sq1uFym4odwa","El Bogueto, Anuel AA, Fuerza Regida, Yung Beef","Cuando No Era Cantante RMX - Remix","El Bogueto",30,51,27,"13555804"
67,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",27,55,133,"12988877"
68,"spotify:track:5Ohxk2dO5COHF1krpoPigN","Harry Styles","Sign of the Times","Columbia",14,56,57,"12965517"
69,"spotify:track:5T7ywazdGIydr6JCW6t02j","Michael Jackson","Smooth Criminal - 2012 Remaster","Epic/Legacy",28,48,8,"12930510"
70,"spotify:track:2a1o6ZejUi8U3wzzOtCOYw","Don Omar, Lucenzo","Danza Kuduro","UMLE - Machete",69,69,129,"12886867"
71,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","The Weeknd/Lyric",1,71,298,"12481793"
72,"spotify:track:1NXbNEAcPvY5G1xvfN57aA","Tame Impala","Dracula","Columbia",35,52,32,"12415808"
73,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,67,213,"12336221"
74,"spotify:track:3USxtqRwSYz57Ewm6wWRMp","Glass Animals","Heat Waves","Polydor Records",1,127,200,"12305556"
75,"spotify:track:3d0WouFnFmr0K3kjeza3fF","Shakira, Wyclef Jean","Hips Don't Lie (feat. Wyclef Jean)","Epic",75,82,58,"12288718"
76,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",19,60,287,"12271460"
77,"spotify:track:51ZQ1vr10ffzbwIjDCwqm4","Ariana Grande","we can't be friends (wait for your love)","Republic Records",1,80,116,"12202937"
78,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",1,57,126,"12176792"
79,"spotify:track:53qkszfgztIvkFyF31GfdQ","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",20,63,159,"12129233"
80,"spotify:track:2gSNBigeWMVtY3QBIvPAEc","Michael Jackson","Bad - 2012 Remaster","Epic/Legacy",47,58,8,"12085964"
81,"spotify:track:2rKkfc4VZ74FQDc1FF1Zo6","BTS","Body to Body","BIGHIT MUSIC",2,66,13,"12060726"
82,"spotify:track:20dAJsyno9ZoBLJtqgQnUI","BTS","Hooligan","BIGHIT MUSIC",4,68,13,"11964285"
83,"spotify:track:7tICCrK3CcyRFKza7yrR0z","sombr","Homewrecker","Warner Records",21,61,19,"11904219"
84,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",15,62,206,"11898934"
85,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",1,76,114,"11838785"
86,"spotify:track:3bmpXHVie1GTy37OkXJ7Vc","BTS","2.0","BIGHIT MUSIC",9,72,13,"11807702"
87,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",3,84,141,"11791089"
88,"spotify:track:6SuIUd8Wl5tZcyMFAV0EZJ","Neton Vega","Nalguita y Teta","Josa Records",67,79,9,"11752875"
89,"spotify:track:7BqBn9nzAq8spo5e7cZ0dJ","Bruno Mars","Just the Way You Are","Atlantic Records",34,87,177,"11715438"
90,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",11,50,52,"11702027"
91,"spotify:track:4Jsus7N4d8hFB2G9gcRdBv","F3miii","NOBLE","Robots & Humans",45,53,6,"11697631"
92,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",22,78,148,"11686984"
93,"spotify:track:6WhwHYd38f4ZB2CefpDgLo","The Kid LAROI","GIRLS","Columbia",83,123,6,"11654837"
94,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",9,89,109,"11485063"
95,"spotify:track:2BwO5K8Q7EPAJSGze3AAh9","Sabrina Carpenter","Manchild","Island Records",1,70,54,"11427394"
96,"spotify:track:6epn3r7S14KUqlReYr77hA","Justin Bieber, Ludacris","Baby","RBMG/Def Jam",6,81,10,"11408315"
97,"spotify:track:6czM6UMQD9qE5GAUp68oud","Justin Bieber, Chance the Rapper","Confident","RBMG/Def Jam",9,88,36,"11264041"
98,"spotify:track:1Jo0Zg7XlrA6z0mFTZVdkn","Rihanna","Don't Stop The Music","Def Jam Recordings",98,112,34,"11184827"
99,"spotify:track:7e4zDInS6tA2jwzphvs2Ay","HUGEL, SOLTO (FR)","Jamaican (Bam Bam)","MoBlack Records",86,100,11,"11175506"
100,"spotify:track:5IMpnpD0tQVcqWlVIgtAtV","Bella Kay","iloveitiloveitiloveit","2026 Bella Kay",15,74,17,"11080200"
101,"spotify:track:1ypwNj8eK2qAMDEs4EiIIX","Oliver Tree, Robin Schulz","Miss You - Bonus Track","Atlantic Records",11,-1,27,"11052579"
102,"spotify:track:0MUXBhPUDF8or0kfQ0EHwV","Sam Fender, Olivia Dean","Rein Me In (with Olivia Dean)","Polydor Records",56,91,16,"11048082"
103,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",4,85,76,"11037843"
104,"spotify:track:0gucTLf7trAf37Ua1uAyAu","Nirvana","Smells Like Teen Spirit","Geffen",98,98,161,"10992675"
105,"spotify:track:0AcgKF7kbSoCkh3n7vlHwK","Michael Jackson","Dirty Diana - 2012 Remaster","Epic/Legacy",43,77,8,"10967926"
106,"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Ed Sheeran","Shape of You","Atlantic Records UK",1,114,419,"10892509"
107,"spotify:track:0KKkJNfGyhkQ5aFogxQAPU","Bruno Mars","That's What I Like","Atlantic Records",6,95,190,"10880582"
108,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",31,73,199,"10867399"
109,"spotify:track:58ge6dfP91o9oXMzq3XkIS","Arctic Monkeys","505","Domino/Warner Records",43,90,232,"10850135"
110,"spotify:track:136BeIIoBGrrU9fI1jbcDR","Peso Pluma, Tito Double P","daño","Double P Records",32,83,25,"10803738"
111,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",4,92,81,"10779501"
112,"spotify:track:2fCwv2ppU5nTRTckomIGsd","CORTIS","REDRED","Republic Records – CORTIS",61,94,8,"10712397"
113,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,101,153,"10553974"
114,"spotify:track:0lYBSQXN6rCTvUZvg9S0lU","DJ Snake, Justin Bieber","Let Me Love You","DJ Snake Def Jam",4,117,110,"10549128"
115,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",20,108,58,"10537921"
116,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",9,102,27,"10521851"
117,"spotify:track:0d28khcov6AiegSCpG5TuT","Gorillaz, De La Soul","Feel Good Inc.","Parlophone UK",46,104,78,"10521694"
118,"spotify:track:0Sa8aRfGckW0qUGLrBwoBG","Lenin Ramírez","Todo Lo Fue","DEL Records",85,97,21,"10488774"
119,"spotify:track:5nEdwtSv0qqeE0l4o1lR4q","Sean Paul, Keyshia Cole","(When You Gonna) Give It Up to Me - Radio Version","VP Records",36,86,22,"10477488"
120,"spotify:track:2LlQb7Uoj1kKyGhlkBf9aC","Michael Jackson","Thriller","Epic",55,107,16,"10462954"
121,"spotify:track:6f68Ac5tt5BQOpwr0BV9oN","Bruno Mars","I Just Might","Atlantic Records",3,93,23,"10459097"
122,"spotify:track:4QNpBfC0zvjKqPJcyqBy9W","Pitbull, AFROJACK, Ne-Yo, Nayer","Give Me Everything (feat. Nayer)","Mr.305/Polo Grounds Music/J Records",72,110,84,"10446604"
123,"spotify:track:0COqiPhxzoWICwFCS4eZcp","Evanescence","Bring Me To Life","The Bicycle Music Company",90,109,63,"10438584"
124,"spotify:track:1qRV1dKLOfH1s00b9J2LUQ","Zara Larsson","Midnight Sun","Sommer House/Epic",81,99,22,"10434906"
125,"spotify:track:5dgREmLlxVJn6h8U0CofEo","Jay Wheeler, Omar Courtz","De Lejitos - Remix","Linked Music / Dynamic Records / EMPIRE",115,115,2,"10396592"
126,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",86,124,203,"10348588"
127,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",16,106,166,"10306656"
128,"spotify:track:5yJaXWIErrrsjQ3J0eR5aK","Lord Huron","The Night We Met","Lord Huron",15,105,191,"10297052"
129,"spotify:track:3zEN0ii6s4DHHBpnTp3RP7","Empire Of The Sun","We Are The People","EMI Recorded Music Australia Pty Ltd",81,113,46,"10158224"
130,"spotify:track:393OFJFZKIIv66JmJcNm9D","Drake","National Treasures","OVO/Republic",6,65,5,"10139247"
131,"spotify:track:2igwFfvr1OAGX9SKDCPBwO","JAŸ-Z, Alicia Keys","Empire State Of Mind","Roc Nation / Jay-Z",131,-1,1,"10132588"
132,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""","Black Panther (TDE/DMG) PS",2,122,157,"10077257"
133,"spotify:track:3cZajhyr8LmtPfHZ9296tj","Disco Lines, Tinashe","No Broke Boys","Nice Life/Atlantic",13,111,51,"10002702"
134,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",1,103,87,"9989048"
135,"spotify:track:13HD3tYTiz8oSRxWzXEq7g","Ella Langley","Be Her","SAWGOD/Columbia",105,125,10,"9982358"
136,"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","OneRepublic","Counting Stars","Mosley / Interscope",86,119,268,"9980847"
137,"spotify:track:7JJmb5XwzOO8jgpou264Ml","Shawn Mendes","There's Nothing Holdin' Me Back","Island Records",5,134,89,"9956836"
138,"spotify:track:05od2qm2MTSKCHxy1GBp5W","sombr","12 to 12","Warner Records",14,96,47,"9952155"
139,"spotify:track:6vjpQIdABqntoe3zPazPec","Drake","Shabang","OVO/Republic",11,75,5,"9949962"
140,"spotify:track:73scB4Q4fcOmnsBVZPmk32","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",5,140,97,"9853543"
141,"spotify:track:7snQQk1zcKl8gZ92AnueZW","Guns N' Roses","Sweet Child O' Mine","Guns N Roses P&D",101,141,76,"9825186"
142,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,137,342,"9799012"
143,"spotify:track:1tz7RZirwiuaJw2p0jbdHb","Omar Courtz","KOKO","Rimas Entertainment LLC.",66,116,14,"9785471"
144,"spotify:track:0b61A7v9agI08BG21jJPQ9","BTS","they don’t know ’bout us","BIGHIT MUSIC",10,126,13,"9775620"
145,"spotify:track:4KmkJjHTNlr1jFY56Lyz4E","KATSEYE","PINKY UP","HYBE/Geffen",18,129,10,"9757490"
146,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",10,132,52,"9748081"
147,"spotify:track:2nLtzopw4rPReszdYBJU6h","Linkin Park","Numb","Warner Records",24,144,115,"9742400"
148,"spotify:track:0KmrKOdScRDVYwWS8hkkdv","BTS","FYA","BIGHIT MUSIC",5,131,13,"9654958"
149,"spotify:track:1PREzVLuDT6PSE9sej4wnV","Fuerza Regida, Grupo Frontera","COQUETA","Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin",88,133,58,"9603306"
150,"spotify:track:1FsURdV1P2M3VCKdbTsZak","KITSCHKRIEG, Blumengarten, Shirin David","Gut Genug (mit Blumengarten & Shirin David)","Four Music/SoulForce Records",150,-1,1,"9589009"
151,"spotify:track:3yWuTOYDztXjZxdE2cIRUa","Taylor Swift","Opalite","Taylor Swift",2,130,37,"9572486"
152,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",20,143,101,"9567292"
153,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",5,120,136,"9523020"
154,"spotify:track:76FZM38RC8XaAjJ77CVTNe","Ariana Grande","Into You","Universal Records",82,164,20,"9497849"
155,"spotify:track:4B4Q7zfd0aHcuhQBfCRnH5","BTS","NORMAL","BIGHIT MUSIC",6,135,13,"9445167"
156,"spotify:track:4kLLWz7srcuLKA7Et40PQR","Black Eyed Peas","I Gotta Feeling","Interscope",118,172,11,"9415363"
157,"spotify:track:3XyCSaEvFQeflTqlF8FAjL","Shakira, Freshlyground","Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","Legacy Recordings",157,-1,1,"9405057"
158,"spotify:track:3wuCCNCnBhJlwkIJTBZFiv","Michael Jackson","They Don't Care About Us","Epic",52,128,8,"9384223"
159,"spotify:track:5qqabIl2vWzo9ApSC317sa","Oasis","Wonderwall - Remastered","Big Brother Recordings Ltd",63,153,142,"9380908"
160,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,121,100,"9377202"
161,"spotify:track:09CtPGIpYB4BrO8qb1RGsF","Justin Bieber","Sorry","RBMG/Def Jam",12,151,57,"9329299"
162,"spotify:track:2IFND3phjzIG1RcPnHh2hP","BTS","Like Animals","BIGHIT MUSIC",8,147,13,"9297454"
163,"spotify:track:0ll8uFnc0nANY35E0Lfxvg","Keane","Somewhere Only We Know","Universal-Island Records Ltd.",71,138,186,"9291285"
164,"spotify:track:3nqqDo8CcCLke3ZoTgiOKf","The Script","The Man Who Can't Be Moved","Epic/Phonogenic",95,142,31,"9285216"
165,"spotify:track:3avYqdwHKEq8beXbeWCKqJ","Katy Perry","Last Friday Night (T.G.I.F.)","Capitol Records",131,152,22,"9235946"
166,"spotify:track:6K4t31amVTZDgR3sKmwUJJ","Tame Impala","The Less I Know The Better","Universal Music Australia Pty. Ltd.",84,154,89,"9227999"
167,"spotify:track:1oAwsWBovWRIp7qLMGPIet","Cigarettes After Sex","Apocalypse","Partisan Records",53,150,203,"9207787"
168,"spotify:track:0RsH8g8DxdYZgdGcod5I36","Banjaare","Bairan","Sony Music India / Brown",35,146,15,"9187533"
169,"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Republic Records",1,176,341,"9163142"
170,"spotify:track:1zv3WFUbZ5vPxFq9I2jAU1","Rihanna, Calvin Harris","We Found Love","Def Jam Recordings",59,162,122,"9136156"
171,"spotify:track:0myRViRgmQ3J8izICXEAVO","She & Him","I Thought I Saw Your Face Today","Merge Records",14,145,28,"9133819"
172,"spotify:track:1XGmzt0PVuFgQYYnV2It7A","Maroon 5, Wiz Khalifa","Payphone","Interscope Records*",70,163,108,"9100782"
173,"spotify:track:5tg21NdePCn5m8F9BXOEeJ","BTS","Aliens","BIGHIT MUSIC",7,156,13,"9067797"
174,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",5,161,67,"9062956"
175,"spotify:track:3B4cjvGlPvyBLNG3AzEgkZ","Don Toliver","E85","CactusJack/Donnway/ATL",47,136,20,"9053989"
176,"spotify:track:50kpGaPAhYJ3sGmk6vplg0","Justin Bieber","Love Yourself","RBMG/Def Jam",15,159,74,"9038950"
177,"spotify:track:4RCWB3V8V0dignt99LZ8vH","Plain White T's","Hey There Delilah","Fearless Records",177,179,2,"9033373"
178,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",3,160,86,"8991318"
179,"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Ed Sheeran","Perfect","Atlantic Records UK",4,177,452,"8966599"
180,"spotify:track:7D0RhFcb3CrfPuTJ0obrod","Coldplay","Sparks","Parlophone UK",30,149,95,"8934633"
181,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Eminem Catalog PS",31,183,235,"8925677"
182,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",3,170,90,"8894350"
183,"spotify:track:6DH13QYXK7lKkYHSU88N48","Daniel Caesar","Who Knows","Republic Records",58,165,30,"8853765"
184,"spotify:track:5zEcbencrcP0p5Z8508vWz","ANOTR","Talk To You (ft. 54 Ultra)","No Art",178,-1,3,"8804069"
185,"spotify:track:2374M0fQpWi3dLnB54qaLX","TOTO","Africa","Columbia",95,158,117,"8748397"
186,"spotify:track:2ENexcMEMsYk0rVJigVD3i","Rihanna","Only Girl (In The World)","Def Jam Recordings",99,169,34,"8737351"
187,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","The Weeknd/Lyric",12,-1,214,"8714009"
188,"spotify:track:3B54sVLJ402zGa6Xm4YGNe","French Montana, Swae Lee","Unforgettable","Bad Boy Entertainment/Epic Records",3,173,147,"8698766"
189,"spotify:track:5LxvwujISqiB8vpRYv887S","The Jackson 5","I Want You Back","UNI/MOTOWN",117,168,7,"8697971"
190,"spotify:track:0B7wvvmu9EISAwZnOpjhNI","Bruno Mars","When I Was Your Man","Atlantic Records",38,167,181,"8692469"
191,"spotify:track:5J4ZkQpzMUFojo1CtAZYpn","Ariana Grande, The Weeknd","Love Me Harder","Universal Records",191,193,2,"8668087"
192,"spotify:track:1ZNolq7VI7efGlh2hb2VVr","BTS","Into the Sun","BIGHIT MUSIC",20,166,13,"8651843"
193,"spotify:track:1QV6tiMFM6fSOKOGLMHYYg","Lady Gaga","Poker Face","Interscope",37,-1,66,"8635246"
